etykieta,a,b,c,d
niewielkie,487.5,487.5,700,950
bardzo ma³e,800,1000,1200,1400
œrednie,1300,1400,1600,1750
du¿e,1650,1800,1900,2100
bardzo du¿e,1950,2100,2200,2400
ogromne,2250,2500,3388.8,3388.8
