etykieta,a,b,c,d
niewielkie,8,8,20,35
bardzo ma³e,25,40,55,75
œrednie,60,85,100,150
du¿e,110,140,240,300
bardzo du¿e,250,350,500,700
ogromne,600,800,1300,1300
